Name,Latitude,LatDir,Longitude,LonDir,Code,LatDecimal,LonDecimal,LatDecimal_corrigido,LonDecimal_corrigido
Rates,4125,N,840,W,RATES,41.416667,-8.666667,41.416667,-8.666667
Rebordelo,4144,N,709,W,REBOR,41.733333,-7.15,41.733333,-7.15
Redondo,3838,N,732,W,RDOND,38.633333,-7.533333,38.633333,-7.533333
Regua,4109,N,747,W,REGUA,41.15,-7.783333,41.15,-7.783333
Reguengos De Monsaraz,3825,N,732,W,RGRAZ,38.416667,-7.533333,38.416667,-7.533333
Resende,4106,N,757,W,RESEN,41.1,-7.95,41.1,-7.95
Riba DAve,4123,N,823,W,RIBAV,41.383333,-8.383333,41.383333,-8.383333
Ribeira De Pena,4131,N,747,W,RPENA,41.516667,-7.783333,41.516667,-7.783333
Rio Maior,3920,N,856,W,RIMOR,39.333333,-8.933333,39.333333,-8.933333
Rio Mau,4124,N,841,W,RIMAU,41.4,-8.683333,41.4,-8.683333
Rosmaninhal,3943,N,705,W,ROSMA,39.716667,-7.083333,39.716667,-7.083333
S. Bartolomeu,3922,N,756,W,SBART,39.366667,-7.933333,39.366667,-7.933333
S. Bartolomeu De Messines,3715,N,817,W,SBMES,37.25,-8.283333,37.25,-8.283333
S. Bras De Alportel,3709,N,753,W,SBRAS,37.15,-7.883333,37.15,-7.883333
S. Cosmado,4103,N,738,W,SCOSM,41.05,-7.633333,41.05,-7.633333
S. Cristovao,3829,N,818,W,SCRIS,38.483333,-8.3,38.483333,-8.3
S. Geraldo,3845,N,811,W,SGERA,38.75,-8.183333,38.75,-8.183333
S. Jacinto,4039,N,843,W,SJACI,40.65,-8.716667,40.65,-8.716667
S. Joao Da Madeira,4053,N,829,W,SJMAD,40.883333,-8.483333,40.883333,-8.483333
S. Joao Da Venda,3704,N,758,W,SJVEN,37.066667,-7.966667,37.066667,-7.966667
S. Mancos,3827,N,744,W,SNCOS,38.45,-7.733333,38.45,-7.733333
S. Marcos Da Serra,3721,N,822,W,SMRRA,37.35,-8.366667,37.35,-8.366667
S. Martinho Da Cortica,4016,N,809,W,SMCOR,40.266667,-8.15,40.266667,-8.15
S. Martinho Do Porto,3930,N,908,W,SMPOR,39.5,-9.133333,39.5,-9.133333
S. Miguel De Machede,3838,N,743,W,SMEDE,38.633333,-7.716667,38.633333,-7.716667
S. Pedro De Moel,3945,N,901,W,SMOEL,39.75,-9.016667,39.75,-9.016667
S. Pedro Do Sul,4045,N,803,W,SPSUL,40.75,-8.05,40.75,-8.05
S. Romao Do Coronado,4116,N,833,W,SRCOR,41.266667,-8.55,41.266667,-8.55
S. Teotonio,3730,N,842,W,STEOT,37.5,-8.7,37.5,-8.7
S. Vicente Da Beira,4002,N,733,W,SVBRA,40.033333,-7.55,40.033333,-7.55
