
Name,Latitude,LatDir,Longitude,LonDir,Code,LatDecimal,LonDecimal
Benavila,3906,N,00752,W,BVILA,39.1,-7.866667
Bensafrim,3709,N,00844,W,BENSA,37.15,-8.733333
Beringel,3803,N,00759,W,BRGEL,38.05,-7.983333
Berlengas,3924,N,00930,W,BERLN,39.4,-9.5
Boliqueime,3707,N,00809,W,BEIME,37.116667,-8.15
Bombarral,3916,N,00909,W,BOMBA,39.266667,-9.15
Borba,3848,N,00727,W,BORB,38.8,-7.45
Bordeira,3711,N,00851,W,BORDE,37.183333,-8.85
Boticas,4141,N,00740,W,BOTIC,41.683333,-7.666667
Braga (Localidade),4132,N,00825,W,BRAGA,41.533333,-8.416667
Braganca,4148,N,00645,W,BRGAN,41.8,-6.75
Brejos,3706,N,00813,W,BREJO,37.1,-8.216667
Brejos Da Carregueira,3819,N,00845,W,BRCAR,38.316667,-8.75
Brinches,3802,N,00736,W,BCHES,38.033333,-7.6
Bugio (Farol),3839,N,00917,W,BUGIO,38.65,-9.283333
Burgau,3704,N,00846,W,BURGA,37.066667,-8.766667
Cabecao,3857,N,00804,W,CBAO,38.95,-8.066667
Cabeceiras De Basto,4130,N,00759,W,CABEC,41.5,-7.983333
Cabeco De Vide,3907,N,00735,W,CAVID,39.116667,-7.583333
Cabo Carvoeiro,3921,N,00924,W,CCARV,39.35,-9.4
Cabo Da Roca,3846,N,00929,W,CROCA,38.766667,-9.483333
Cabo Mondego,4010,N,00854,W,CDEGO,40.166667,-8.9
Cabo Raso,3842,N,00929,W,CRASO,38.7,-9.483333
Cabo S. Vicente,3701,N,00859,W,SVICE,37.016667,-8.983333
Cabrela,3855,N,00827,W,CABRE,38.916667,-8.45
Cacela,3709,N,00732,W,CACEL,37.15,-7.533333
Cachopo,3719,N,00749,W,CHOPO,37.316667,-7.816667
Cacia,4041,N,00835,W,CACIA,40.683333,-8.583333
Cadaval,3914,N,00906,W,CADAV,39.233333,-9.1
Caldas Da Rainha,3924,N,00908,W,CRAIN,39.4,-9.133333
Cambas,4000,N,00750,W,CAMBA,40.0,-7.833333
Caminha,4152,N,00850,W,CAMIN,41.866667,-8.833333
Campea,4117,N,00752,W,CMPEA,41.283333,-7.866667
Campo Maior,3900,N,00704,W,CMAOR,39.0,-7.066667
Canal Caveira,3808,N,00829,W,CLAVE,38.133333,-8.483333
Canas De Senhorim,4030,N,00754,W,CANAS,40.5,-7.9
Canha,3846,N,00837,W,CANHA,38.766667,-8.616667
Canhestros,3802,N,00817,W,CANAS,38.033333,-8.283333
Caniceira,3916,N,00830,W,CANIC,39.266667,-8.5
Cantanhede,4020,N,00835,W,CANTA,40.333333,-8.583333
Caparica (Povoacao),3839,N,00911,W,CPICA,38.65,-9.183333
Capinha,4012,N,00722,W,CAPIN,40.2,-7.366667
Caramulo,4034,N,00810,W,CRULO,40.566667,-8.166667
Carcavelos,3841,N,00920,W,CARCA,38.683333,-9.333333
Caria,4055,N,00735,W,CARIA,40.916667,-7.583333
Carrapateira,3711,N,00853,W,CARRP,37.183333,-8.883333
Carrazeda De Ansiaes,4114,N,00718,W,CZEDA,41.233333,-7.3
Carrazedo De Montenegro,4133,N,00725,W,CMONT,41.55,-7.416667
Carregado,3901,N,00858,W,CARRE,39.016667,-8.966667
Carregosa,4053,N,00824,W,CARGS,40.883333,-8.4
Carregueira (Chamusca),3925,N,00824,W,CARRO,39.416667,-8.4
Cartaxo,3909,N,00847,W,CTAXO,39.15,-8.783333
Carvalhal,3818,N,00844,W,CRVAL,38.3,-8.733333
Carvalhos,4103,N,00834,W,CARVL,41.05,-8.566667
Carvide,3951,N,00853,W,CARVI,39.85,-8.883333
Carvoeiro,3705,N,00828,W,CARVO,37.083333,-8.466667
Casa Branca,3829,N,00809,W,CASAB,38.483333,-8.15
Cascais (Voos Locais),3842,N,00925,W,CCAIS,38.7,-9.416667
Cascais Ad,3843,N,00921,W,CASC,38.716667,-9.35
Castanheira De Pera,4000,N,00812,W,CPERA,40.0,-8.2
Castelo Branco,3949,N,00729,W,CASTB,39.816667,-7.483333
Castelo De Paiva,4102,N,00816,W,CPAIV,41.033333,-8.266667
Castelo De Vide,3924,N,00727,W,CVIDE,39.4,-7.45
